year,league,rank,team,wins,loses,ties,WL,GB
1950,Central,1,Shochiku Robins,98,35,4,0.737,0
1950,Central,2,Chunichi Dragons,89,44,4,0.669,9
1950,Central,3,Yomiuri Giants,82,54,4,0.603,17.5
1950,Central,4,Osaka Tigers,70,67,3,0.511,30
1950,Central,5,Taiyo Whales,69,68,3,0.504,31
1950,Central,6,Nishinippon Pirates,50,83,3,0.376,48
1950,Central,7,Kokutetsu Swallows,42,94,2,0.309,57.5
1950,Central,8,Hiroshima Carp,41,96,1,0.299,59
1950,Pacific,1,Mainichi Orions,81,34,5,0.704,0
1950,Pacific,2,Nankai Hawks,66,49,5,0.574,15
1950,Pacific,3,Daiei Stars,62,54,4,0.534,19.5
1950,Pacific,4,Hankyu Braves,54,64,2,0.458,28.5
1950,Pacific,5,Nishitetsu Clippers,51,67,2,0.432,31.5
1950,Pacific,6,Tokyu Flyers,51,69,0,0.425,32.5
1950,Pacific,7,Kintetsu Pearls,44,72,4,0.379,37.5
1951,Central,1,Yomiuri Giants,79,29,6,0.731,0
1951,Central,2,Nagoya Dragons,62,48,3,0.564,18
1951,Central,3,Osaka Tigers,61,52,3,0.54,20.5
1951,Central,4,Shochiku Robins,53,57,5,0.482,27
1951,Central,5,Kokutetsu Swallows,46,59,2,0.438,31.5
1951,Central,6,Taiyo Whales,40,64,4,0.385,37
1951,Central,7,Hiroshima Carp,32,64,3,0.333,41
1951,Pacific,1,Nankai Hawks,72,24,8,0.75,0
1951,Pacific,2,Nishitetsu Lions,53,42,10,0.558,18.5
1951,Pacific,3,Mainichi Orions,54,51,5,0.514,22.5
1951,Pacific,4,Daiei Stars,41,52,8,0.441,29.5
1951,Pacific,5,Hankyu Braves,37,51,8,0.42,31
1951,Pacific,6,Tokyu Flyers,38,56,8,0.404,33
1951,Pacific,7,Kintetsu Pearls,37,56,5,0.398,33.5
1952,Central,1,Yomiuri Giants,83,37,0,0.692,0
1952,Central,2,Osaka Tigers,79,40,1,0.664,3.5
1952,Central,3,Nagoya Dragons,75,43,2,0.636,7
1952,Central,4,Taiyo Whales,58,62,0,0.483,25
1952,Central,5,Kokutetsu Swallows,50,70,0,0.417,33
1952,Central,6,Hiroshima Carp,37,80,3,0.316,44.5
1952,Central,7,Shochiku Robins,34,84,2,0.288,48
1952,Pacific,1,Nankai Hawks,76,44,1,0.633,0
1952,Pacific,2,Mainichi Dragons,75,45,0,0.625,1
1952,Pacific,3,Nishitetsu Lions,67,52,1,0.563,8.5
1952,Pacific,4,Daiei Stars,55,65,1,0.458,21
1952,Pacific,5,Hankyu Braves,49,58,1,0.458,20.5
1952,Pacific,6,Tokyu Flyers,49,59,1,0.454,21
1952,Pacific,7,Kintetsu Pearls,30,78,0,0.278,40
1953,Central,1,Yomiuri Giants,87,37,1,0.702,0
1953,Central,2,Osaka Tigers,74,56,0,0.569,16
1953,Central,3,Chunichi Dragons,70,57,3,0.551,18.5
1953,Central,4,Hiroshima Carp,53,75,2,0.414,36
1953,Central,5,Taiyo-Shochiku Robins,52,77,1,0.403,37.5
1953,Central,6,Kokutetsu Swallows,45,79,1,0.363,42
1953,Pacific,1,Nankai Hawks,71,48,1,0.597,0
1953,Pacific,2,Hankyu Braves,67,52,1,0.563,4
1953,Pacific,3,Daiei Stars,63,53,4,0.543,6.5
1953,Pacific,4,Nishitetsu Lions,57,61,2,0.483,13.5
1953,Pacific,5,Mainichi Orions,56,62,2,0.475,14.5
1953,Pacific,6,Tokyu Flyers,50,67,3,0.427,20
1953,Pacific,7,Kintetsu Pearls,48,69,3,0.41,22
1954,Central,1,Chunichi Dragons,86,40,4,0.683,0
1954,Central,2,Yomiuri Giants,82,47,1,0.636,5.5
1954,Central,3,Osaka Tigers,71,57,2,0.555,16
1954,Central,4,Hiroshima Carp,56,69,5,0.448,29.5
1954,Central,5,Kokutetsu Swallows,55,73,2,0.43,32
1954,Central,6,Taiyo-Shochiku Robins,32,96,2,0.25,55
1954,Pacific,1,Nishitetsu Lions,90,47,3,0.657,0
1954,Pacific,2,Nankai Hawks,91,49,0,0.65,0.5
1954,Pacific,3,Mainichi Orions,79,57,4,0.581,10.5
1954,Pacific,4,Kintetsu Pearls,74,63,3,0.54,16
1954,Pacific,5,Hankyu Braves,66,70,5,0.485,23.5
1954,Pacific,6,Takahashi Unions,53,84,4,0.387,37
1954,Pacific,7,Toei Flyers,52,86,3,0.377,38.5
1954,Pacific,8,Daiei Stars,43,92,5,0.319,46
1955,Central,1,Yomiuri Giants,92,37,1,0.713,0
1955,Central,2,Chunichi Dragons,77,52,11,0.597,15
1955,Central,3,Osaka Tigers,71,57,2,0.555,20.5
1955,Central,4,Hiroshima Carp,58,70,2,0.453,33.5
1955,Central,5,Kokutetsu Swallows,57,71,2,0.445,34.5
1955,Central,6,Taiyo Whales,31,99,0,0.238,61.5
1955,Pacific,1,Nankai Hawks,99,41,3,0.707,0
1955,Pacific,2,Nishitetsu Lions,90,50,4,0.643,9
1955,Pacific,3,Mainichi Orions,85,55,2,0.607,14
1955,Pacific,4,Hankyu Braves,80,60,2,0.571,19
1955,Pacific,5,Kintetsu Pearls,60,80,2,0.429,39
1955,Pacific,6,Daiei Stars,53,87,1,0.379,46
1955,Pacific,7,Toei Flyers,51,89,3,0.364,48
1955,Pacific,8,Tombo Unions,42,98,11,0.3,57
1956,Central,1,Yomiuri Giants,82,44,4,0.651,0
1956,Central,2,Osaka Tigers,79,50,1,0.612,4.5
1956,Central,3,Chunichi Dragons,74,56,0,0.569,10
1956,Central,4,Kokutetsu Swallows,61,65,4,0.484,21
